508	0	L849	-849
507	17	L17	0
506	4	R13	17
505	2	L98	-96
504	68	R34	102
503	98	R70	168
502	31	R67	98
501	17	R14	31
500	18	R99	117
499	17	L99	-82
498	47	L830	-783
497	23	R24	47
496	74	R49	123
495	23	R51	74
494	92	L869	-777
493	31	L39	-8
492	17	L86	-69
491	52	L35	17
490	17	L65	-48
489	23	L6	17
488	69	L46	23
487	65	L96	-31
486	17	L752	-735
485	31	L14	17
484	17	L86	-69
483	80	L563	-483
482	17	R63	80
481	44	L27	17
480	65	L21	44
479	63	L98	-35
478	66	L103	-37
477	85	L319	-234
476	32	L47	-15
475	52	R80	132
474	17	R35	52
473	65	L48	17
472	17	R48	65
471	54	L37	17
470	11	R43	54
469	2	R9	11
468	17	R85	102
467	46	L29	17
466	72	R74	146
465	27	L55	-28
464	17	R10	27
463	16	R1	17
462	17	L1	16
461	71	R46	117
460	32	R39	71
459	43	L11	32
458	17	R26	43
457	22	R95	117
456	50	R72	122
455	89	L39	50
454	17	R72	89
453	45	R72	117
452	62	L17	45
451	17	L55	-38
450	69	L52	17
449	17	R52	69
448	36	L19	17
447	81	L945	-864
446	65	R16	81
445	81	L16	65
444	17	L36	-19
443	62	L45	17
442	3	L41	-38
441	32	L29	3
440	83	R49	132
439	32	R51	83
438	24	R8	32
437	20	L596	-576
436	68	R52	120
435	17	L49	-32
434	4	L87	-83
433	10	R787	797
432	66	L56	10
431	63	R301	364
430	0	L37	-37
429	8	R92	100
428	62	L54	8
427	48	R14	62
426	8	L60	-52
425	22	R86	108
424	8	R14	22
423	79	L71	8
422	45	L66	-21
421	37	R603	640
420	11	R26	37
419	74	L963	-889
418	41	R33	74
417	58	L17	41
416	29	R29	58
415	3	R26	29
414	17	R86	103
413	3	R14	17
412	14	R386	400
411	11	L97	-86
410	25	R86	111
409	62	R63	125
408	46	L84	-38
407	30	L84	-54
406	17	L87	-70
405	21	L4	17
404	29	L8	21
403	19	R10	29
402	17	L98	-81
401	71	L954	-883
400	0	L729	-729
399	9	R982	991
398	83	R26	109
397	51	R32	83
396	22	L71	-49
395	90	L68	22
394	91	L1	90
393	46	L55	-9
392	91	L45	46
391	60	R31	91
390	69	L309	-240
389	97	R72	169
388	42	R55	97
387	75	R67	142
386	91	R84	175
385	2	R288	290
384	48	R648	696
383	84	L36	48
382	96	R88	184
381	59	R37	96
380	10	L51	-41
379	84	R26	110
378	27	L43	-16
377	84	R43	127
376	4	L20	-16
375	5	R99	104
374	58	R938	996
373	25	L67	-42
372	61	L36	25
371	30	R31	61
370	75	R55	130
369	44	R31	75
368	65	L21	44
367	75	L10	65
366	89	R977	1066
365	66	R23	89
364	59	L93	-34
363	72	L13	59
362	66	R6	72
361	89	R77	166
360	13	R76	89
359	66	L153	-87
358	59	R7	66
357	66	L7	59
356	33	L67	-34
355	82	R51	133
354	66	L584	-518
